CUDA_VISIBLE_DEVICES=1 nohup python train_q_rag_logt.py    
envs=hotpotqa    \
algo=pqn_e5_hotpotqa    \
envs.data_path="/home/ai-faculty/workspace/datasets/hotpotqa"    \
steps_count=10000    \
batch_size=12    \
accumulate_grads=8    \
eval_interval=100    \
envs_parallel=1    \
max_action_length=220   > train.log 2>&1 &

Training started at: 2026-03-26 17:36:17
Total iterations: 80000
====================================================================================================
| it/Total Steps | 完成百分比 | Progress | Time | Reward | Eval Reward | QF loss| Step |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 43000/80000 | 53.8% | 12:17:36 | 0.833 | 0.847 | 0.037 | 559013 |
| 43100/80000 | 53.9% | 12:19:12 | 0.834 | 0.847 | 0.102 | 560313 |
| 43200/80000 | 54.0% | 12:20:48 | 0.832 | 0.847 | 0.059 | 561613 |
| 43300/80000 | 54.1% | 12:23:15 | 0.848 | 0.870 | 0.156 | 562913 |
| 43400/80000 | 54.3% | 12:24:50 | 0.838 | 0.870 | 0.118 | 564213 |
| 43500/80000 | 54.4% | 12:26:26 | 0.836 | 0.870 | 0.155 | 565513 |
| 43600/80000 | 54.5% | 12:28:01 | 0.838 | 0.870 | 0.089 | 566813 |
| 43700/80000 | 54.6% | 12:29:36 | 0.843 | 0.870 | 0.049 | 568113 |
| 43800/80000 | 54.8% | 12:31:11 | 0.846 | 0.870 | 0.040 | 569413 |
| 43900/80000 | 54.9% | 12:32:47 | 0.844 | 0.870 | 0.065 | 570713 |
| 44000/80000 | 55.0% | 12:34:23 | 0.840 | 0.870 | 0.034 | 572013 |
| 44100/80000 | 55.1% | 12:36:44 | 0.817 | 0.867 | 0.068 | 573313 |
| 44200/80000 | 55.3% | 12:38:19 | 0.829 | 0.867 | 0.158 | 574613 |
| 44300/80000 | 55.4% | 12:39:55 | 0.828 | 0.867 | 0.102 | 575913 |
| 44400/80000 | 55.5% | 12:41:30 | 0.836 | 0.867 | 0.175 | 577213 |
| 44500/80000 | 55.6% | 12:43:05 | 0.832 | 0.867 | 0.037 | 578513 |
| 44600/80000 | 55.8% | 12:44:40 | 0.829 | 0.867 | 0.151 | 579813 |
| 44700/80000 | 55.9% | 12:46:16 | 0.833 | 0.867 | 0.048 | 581113 |
| 44800/80000 | 56.0% | 12:47:51 | 0.835 | 0.867 | 0.023 | 582413 |
| 44900/80000 | 56.1% | 12:50:17 | 0.835 | 0.860 | 0.098 | 583713 |
| 45000/80000 | 56.3% | 12:51:53 | 0.839 | 0.860 | 0.123 | 585013 |
| 45100/80000 | 56.4% | 12:53:28 | 0.843 | 0.860 | 0.054 | 586313 |
| 45200/80000 | 56.5% | 12:55:04 | 0.842 | 0.860 | 0.053 | 587613 |
| 45300/80000 | 56.6% | 12:56:40 | 0.846 | 0.860 | 0.177 | 588913 |
| 45400/80000 | 56.8% | 12:58:16 | 0.848 | 0.860 | 0.046 | 590213 |
| 45500/80000 | 56.9% | 12:59:52 | 0.845 | 0.860 | 0.059 | 591513 |
| 45600/80000 | 57.0% | 13:01:28 | 0.848 | 0.860 | 0.044 | 592813 |
| 45700/80000 | 57.1% | 13:03:54 | 0.862 | 0.887 | 0.023 | 594113 |
| 45800/80000 | 57.3% | 13:05:30 | 0.847 | 0.887 | 0.078 | 595413 |
| 45900/80000 | 57.4% | 13:07:05 | 0.841 | 0.887 | 0.095 | 596713 |
| 46000/80000 | 57.5% | 13:08:41 | 0.837 | 0.887 | 0.020 | 598013 |
| 46100/80000 | 57.6% | 13:10:17 | 0.842 | 0.887 | 0.114 | 599313 |
| 46200/80000 | 57.8% | 13:11:53 | 0.844 | 0.887 | 0.041 | 600613 |
| 46300/80000 | 57.9% | 13:13:29 | 0.843 | 0.887 | 0.032 | 601913 |
| 46400/80000 | 58.0% | 13:15:05 | 0.842 | 0.887 | 0.088 | 603213 |
| 46500/80000 | 58.1% | 13:17:27 | 0.849 | 0.860 | 0.033 | 604513 |
| 46600/80000 | 58.3% | 13:19:02 | 0.850 | 0.860 | 0.040 | 605813 |
